"Company Name",Industry,Address,Website,"Contact Email"
Netflix Inc,Entertainment,100 Winchester Circle Los Gatos CA 95032,netflix.com,support@netflix.com
Apple Inc.,Technology,1 Apple Park Way Cupertino CA,apple.com,info@apple.com
Microsoft Corp.,Software,1 Microsoft Way Redmond WA 98052,www.microsoft.com,contact@microsoft.com
Tesla Motors Inc,Automotive,3500 Deer Creek Road Palo Alto CA 94304,tesla.com,info@tesla.com
Amazon Inc.,Retail,410 Terry Avenue North Seattle WA 98109,www.amazon.com,contact@amazon.com
Salesforce Inc,Cloud Computing,415 Mission St San Francisco CA 94105,salesforce.com,support@salesforce.com
Meta Platforms Inc.,Social Media,1 Hacker Way Menlo Park CA,meta.com,contact@meta.com
Intel Corporation,Semiconductors,2200 Mission College Blvd Santa Clara CA 95054,intel.com,info@intel.com
Microsoft Corporation,Technology,One Microsoft Way Redmond WA,microsoft.com,info@microsoft.com
Adobe Systems Inc,Software,345 Park Avenue San Jose CA 95110,adobe.com,contact@adobe.com
Google Inc,Internet,1600 Amphitheatre Parkway Mountain View CA 94043,www.google.com,support@google.com
Twitter Inc,Social Media,1355 Market St San Francisco CA 94103,twitter.com,support@twitter.com
Apple Computer Inc,Hardware,One Apple Park Way Cupertino CA 95014,www.apple.com,contact@apple.com
Oracle Corporation,Enterprise Software,500 Oracle Parkway Redwood City CA 94065,oracle.com,info@oracle.com
Facebook Inc,Technology,1 Hacker Way Menlo Park CA 94025,facebook.com,support@meta.com
NVIDIA Corporation,Technology,2788 San Tomas Expressway Santa Clara CA 95051,nvidia.com,info@nvidia.com
Amazon.com Inc,E-commerce,410 Terry Ave N Seattle WA,amazon.com,support@amazon.com
Google LLC,Technology,1600 Amphitheatre Pkwy Mountain View CA,google.com,info@google.com
IBM Corporation,Technology,1 New Orchard Road Armonk NY 10504,ibm.com,contact@ibm.com
Cisco Systems Inc,Networking,170 West Tasman Dr San Jose CA 95134,cisco.com,support@cisco.com 
